time,closeAsk,closeBid,volume,BNP.GBPZAR - GBP/ZAR_x
2014-10-16T21:00:00.000000Z,17.890625,17.84375,865.0,17.8671875
2014-10-16T22:00:00.000000Z,17.875,17.84375,1834.0,17.859375
2014-10-16T23:00:00.000000Z,17.90625,17.828125,2037.0,17.8671875
2014-10-17T00:00:00.000000Z,17.875,17.84375,4536.0,17.859375
2014-10-17T01:00:00.000000Z,17.890625,17.8125,5704.0,17.8515625
2014-10-17T02:00:00.000000Z,17.890625,17.828125,16000.0,17.859375
2014-10-17T03:00:00.000000Z,17.859375,17.84375,5588.0,17.8515625
2014-10-17T04:00:00.000000Z,17.859375,17.84375,3048.0,17.8515625
2014-10-17T05:00:00.000000Z,17.875,17.859375,4716.0,17.8671875
2014-10-17T06:00:00.000000Z,17.859375,17.84375,8344.0,17.8515625
2014-10-17T07:00:00.000000Z,17.828125,17.8125,18048.0,17.8203125
2014-10-17T08:00:00.000000Z,17.84375,17.828125,19264.0,17.8359375
2014-10-17T09:00:00.000000Z,17.828125,17.828125,16384.0,17.828125
2014-10-17T10:00:00.000000Z,17.828125,17.8125,11488.0,17.8203125
2014-10-17T11:00:00.000000Z,17.859375,17.84375,15792.0,17.8515625
2014-10-17T12:00:00.000000Z,17.890625,17.875,24608.0,17.8828125
2014-10-17T13:00:00.000000Z,17.84375,17.84375,24896.0,17.84375
2014-10-17T14:00:00.000000Z,17.84375,17.828125,23952.0,17.8359375
2014-10-17T15:00:00.000000Z,17.84375,17.84375,19584.0,17.84375
2014-10-17T16:00:00.000000Z,17.859375,17.84375,11032.0,17.8515625
2014-10-17T17:00:00.000000Z,17.890625,17.875,11024.0,17.8828125
2014-10-17T18:00:00.000000Z,17.859375,17.84375,13640.0,17.8515625
2014-10-17T19:00:00.000000Z,17.84375,17.8125,7848.0,17.828125
2014-10-17T20:00:00.000000Z,17.84375,17.8125,2380.0,17.828125
2014-10-19T21:00:00.000000Z,17.890625,17.8125,1683.0,17.8515625
2014-10-19T22:00:00.000000Z,17.875,17.8125,9896.0,17.84375
2014-10-19T23:00:00.000000Z,17.875,17.828125,15672.0,17.8515625
2014-10-20T00:00:00.000000Z,17.859375,17.84375,11984.0,17.8515625
2014-10-20T01:00:00.000000Z,17.859375,17.828125,4720.0,17.84375
2014-10-20T02:00:00.000000Z,17.875,17.84375,1898.0,17.859375
2014-10-20T03:00:00.000000Z,17.875,17.859375,3994.0,17.8671875
2014-10-20T04:00:00.000000Z,17.859375,17.84375,6912.0,17.8515625
2014-10-20T05:00:00.000000Z,17.859375,17.84375,9968.0,17.8515625
2014-10-20T06:00:00.000000Z,17.828125,17.8125,7752.0,17.8203125
2014-10-20T07:00:00.000000Z,17.828125,17.8125,12656.0,17.8203125
2014-10-20T08:00:00.000000Z,17.8125,17.8125,11864.0,17.8125
2014-10-20T09:00:00.000000Z,17.828125,17.8125,14240.0,17.8203125
2014-10-20T10:00:00.000000Z,17.8125,17.8125,12744.0,17.8125
2014-10-20T11:00:00.000000Z,17.828125,17.828125,10792.0,17.828125
2014-10-20T12:00:00.000000Z,17.828125,17.828125,15072.0,17.828125
2014-10-20T13:00:00.000000Z,17.796875,17.78125,21216.0,17.7890625
2014-10-20T14:00:00.000000Z,17.8125,17.8125,19568.0,17.8125
2014-10-20T15:00:00.000000Z,17.78125,17.78125,13488.0,17.78125
2014-10-20T16:00:00.000000Z,17.796875,17.78125,4824.0,17.7890625
2014-10-20T17:00:00.000000Z,17.828125,17.8125,8864.0,17.8203125
