time,closeAsk,closeBid,volume,BNP.GBPAUD - GBP/AUD_x
2014-10-16T17:00:00.000000Z,1.833984375,1.8330078125,2064.0,1.83349609375
2014-10-16T18:00:00.000000Z,1.8330078125,1.83203125,1193.0,1.83251953125
2014-10-16T19:00:00.000000Z,1.837890625,1.837890625,901.0,1.837890625
2014-10-16T20:00:00.000000Z,1.837890625,1.8369140625,518.0,1.83740234375
2014-10-16T21:00:00.000000Z,1.837890625,1.8359375,702.0,1.8369140625
2014-10-16T22:00:00.000000Z,1.837890625,1.8369140625,1347.0,1.83740234375
2014-10-16T23:00:00.000000Z,1.8359375,1.8349609375,806.0,1.83544921875
2014-10-17T00:00:00.000000Z,1.8330078125,1.83203125,851.0,1.83251953125
2014-10-17T01:00:00.000000Z,1.8310546875,1.830078125,683.0,1.83056640625
2014-10-17T02:00:00.000000Z,1.8349609375,1.833984375,757.0,1.83447265625
2014-10-17T03:00:00.000000Z,1.837890625,1.837890625,711.0,1.837890625
2014-10-17T04:00:00.000000Z,1.837890625,1.8369140625,778.0,1.83740234375
2014-10-17T05:00:00.000000Z,1.8388671875,1.837890625,739.0,1.83837890625
2014-10-17T06:00:00.000000Z,1.8349609375,1.833984375,1651.0,1.83447265625
2014-10-17T07:00:00.000000Z,1.83203125,1.8310546875,2202.0,1.83154296875
2014-10-17T08:00:00.000000Z,1.8330078125,1.83203125,2224.0,1.83251953125
2014-10-17T09:00:00.000000Z,1.8330078125,1.8330078125,1820.0,1.8330078125
2014-10-17T10:00:00.000000Z,1.8330078125,1.8330078125,1192.0,1.8330078125
2014-10-17T11:00:00.000000Z,1.8330078125,1.8330078125,1406.0,1.8330078125
2014-10-17T12:00:00.000000Z,1.8349609375,1.833984375,2952.0,1.83447265625
2014-10-17T13:00:00.000000Z,1.8359375,1.8349609375,2228.0,1.83544921875
2014-10-17T14:00:00.000000Z,1.8388671875,1.837890625,2500.0,1.83837890625
2014-10-17T15:00:00.000000Z,1.8369140625,1.8359375,1644.0,1.83642578125
2014-10-17T16:00:00.000000Z,1.8359375,1.8349609375,1101.0,1.83544921875
2014-10-17T17:00:00.000000Z,1.8359375,1.8359375,660.0,1.8359375
2014-10-17T18:00:00.000000Z,1.8388671875,1.8388671875,527.0,1.8388671875
2014-10-17T19:00:00.000000Z,1.8359375,1.8359375,561.0,1.8359375
